,id,url,verified,username,fullname,avatar,timestamp,text,links,isQuote,isRetweet,isReply,replyingTo,likes,replies,retweets,quotes,searchQuery,images,quotedTweet
620,1831348667195752960,https://twitter.com/DeItaone/status/1831348667195752884,True,@DeItaone,*Walter Bloomberg,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1282648991348527104/A8HCjqZk.jpg,2024-09-04 15:08:00+00:00,"US SAFETY REGULATORS CALL FOR PROBE INTO SHEIN, TEMU: ABC",[],False,False,False,,118,10,9,1,Temu,,
621,1831347271767585024,https://twitter.com/SirJeremyLondon/status/1831347271767585118,False,@SirJeremyLondon,Jeremy London 🇺🇸 🦅,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1707745588677115904/1QbwLiKH.jpg,2024-09-04 15:03:00+00:00,STOP ORDERING DOCTORS FROM TEMU,[],True,False,False,,178,17,16,0,Temu,,"{'url': 'https://twitter.com/JoshMankiewicz/status/1831345977720222194', 'avatar': '', 'username': '@JoshMankiewicz', 'fullname': 'Josh Mankiewicz', 'timestamp': '2024-09-04T14:58:00.000Z', 'text': 'Florida surgeon sued after mistakenly removing patient’s liver instead of his spleen. Patient did not survive.  tribune.com.pk/story/2493253…', 'links': ['https://tribune.com.pk/story/2493253/florida-surgeon-sued-after-mistakenly-removing-patients-liver']}"
622,1831336413658333184,https://twitter.com/SenMarcoRubio/status/1831336413658333201,True,@SenMarcoRubio,Senator Marco Rubio,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1724869849602535424/4djzEA1s.jpg,2024-09-04 14:20:00+00:00,"More attention being paid to Shein and Temu as they flood the market with cheap goods linked to slave labor.

This follows my call for @DHSgov to investigate these companies, which has yet to be answered.",['https://twitter.com/DHSgov'],True,False,False,,149,73,57,5,Temu,['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWkRznhWcAAydNv.jpg'],"{'url': 'https://twitter.com/FeldmanCPSC/status/1831014307481465042', 'avatar': '', 'username': '@FeldmanCPSC', 'fullname': 'Peter Feldman (CPSC)', 'timestamp': '2024-09-03T17:00:00.000Z', 'text': 'Today, we are calling on @USCPSC to evaluate how @SHEIN_Official and @shoptemu meet their obligations under the Consumer Product Safety Act. Given specific concerns about foreign e-commerce, this review will inform how best to protect Americans. Link: tinyurl.com/mrxjfwub', 'links': ['https://twitter.com/USCPSC', 'https://twitter.com/SHEIN_Official', 'https://twitter.com/shoptemu', 'https://tinyurl.com/mrxjfwub'], 'images': ['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWkRznhWcAAydNv.jpg']}"
623,1831335562994909184,https://twitter.com/dollzenvy/status/1831335562994909217,False,@dollzenvy,#cursed 𖤐,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1779902599229030400/zqPVckvk.jpg,2024-09-04 14:16:00+00:00,"im a opium groupie + temu molly santana guys, u CAN be both at the same time 🩷",[],False,False,False,,49,10,2,0,Temu,,
624,1831310404376486144,https://twitter.com/ArtieVandelay1/status/1831310404376486222,True,@ArtieVandelay1,Artie Vandelay,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1095434811706167297/AXNMbVCL.jpg,2024-09-04 12:36:00+00:00,Is that a Temu Jeff Goldblum???,[],False,False,True,['/RonFilipkowski'],587,30,16,2,Temu,,
625,1831268704341942528,https://twitter.com/TheWinegasm/status/1831268704341942595,False,@TheWinegasm,Penis Grigio,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1624725770458263552/jfs7wcET.jpg,2024-09-04 09:50:00+00:00,Sex with a new guy is like ordering off Temu… the package is smaller than you expected and it’s disappointing.,[],False,False,False,,103,15,18,3,Temu,,
626,1831220585914867968,https://twitter.com/mybroadband/status/1831220585914867937,True,@mybroadband,MyBroadband,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/885890393652547584/YekiSlZM.jpg,2024-09-04 06:39:00+00:00,"Temu and Shein hurt Woolworths in South Africa

The Chinese retailers are likely to have played a part in Woolworths' profit crashing in its last financial year.
mybroadband.co.za/news/busin…",['https://mybroadband.co.za/news/business/558782-temu-and-shein-hurt-woolworths-in-south-africa.html'],False,False,False,,21,12,6,0,Temu,,
627,1831211045005750528,https://twitter.com/Jayelache/status/1831211045005750414,False,@Jayelache,NellieBells,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1336140006986027012/OthJxxR2.jpg,2024-09-04 06:01:00+00:00,"I don’t think Lesa could care less about that wrinkled face, flat back, Botox repellant, Temu veneer having hag named stanbury. She’s old and dusty and will be nothing more than a dust rag #RHODubai",['https://twitter.com/search?q=%23RHODubai'],False,False,True,['/ohchadwick'],43,18,2,0,Temu,,
628,1831162559912710656,https://twitter.com/beren682/status/1831162559912710612,False,@beren682,Beren682🇺🇸🇺🇦🌻,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1758928000035241984/V_WIyiaV.jpg,2024-09-04 02:49:00+00:00,How many Temu ads do I need to tag as “not interested” before the stop?,[],False,False,False,,51,12,0,0,Temu,,
629,1831141778612752640,https://twitter.com/LeciaMichelle11/status/1831141778612752749,False,@LeciaMichelle11,Black Girl Photographer,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1822374074372222978/r-BB-T65.jpg,2024-09-04 01:26:00+00:00,"I forgot that Meghan McCain (Temu Barbie) blocked me a few years ago.

P. S. Her stylist still hates her guts.",[],False,False,False,,370,34,27,2,Temu,,
